Speed_20,Dir_20,Hum,SR,Press,TempK,PTheo
1.5061,295.2,78.586,246.08,784.38,297.504,189.0281008333333
2.0044,293.04,78.794,246.81,784.23,298.225,334.8016133333333
2.0646,308.55,82.227,220.61,784.22,298.34,355.21443
2.089,307.93,82.519,204.56,784.39,298.37,363.6600833333333
2.1705,304.43,84.763,218.3,783.91,298.325,392.5891875
1.9112,306.02,84.356,239.92,784.37,297.314,304.39045333333337
1.738,306.51,86.964,220.93,784.36,296.754,251.72033333333331
1.577,306.64,87.049,54.09,784.36,296.769,207.2440833333333
1.8325,306.48,86.03,13.0,784.52,296.897,279.8380208333333
1.4475,307.91,87.576,11.45,784.0,296.402,174.60468749999998
1.3013,302.81,87.713,9.17,784.01,297.017,141.11514083333333
1.7655,302.65,87.496,14.48,783.84,297.033,259.74918750000006
2.0619,302.15,80.779,122.34,783.35,298.419,354.28596749999997
2.073,302.11,78.619,227.71,782.93,298.459,358.11074999999994
1.4986,298.49,80.155,189.18,783.11,298.756,187.15016333333332
1.225,290.41,80.42,194.84,783.13,298.535,125.05208333333334
1.1385,289.8,80.905,191.62,783.11,298.539,108.01518750000001
0.8107,301.39,81.561,182.75,783.36,298.38,54.76954083333332
0.6264,302.55,82.132,190.13,783.34,298.175,32.69808
0.6138,307.51,78.956,210.79,783.65,298.145,31.39587
1.1364,301.45,78.089,204.37,783.36,297.954,107.61708000000002
0.8146,294.84,73.287,215.22,783.0,296.402,55.297763333333336
0.8236,295.49,74.167,201.71,783.33,295.673,56.52641333333332
1.1556,293.0,74.165,196.22,783.19,295.715,111.28428
0.8677,294.93,67.125,113.65,783.1,297.926,62.74194083333333
0.5412,293.11,67.796,116.08,783.69,298.16,24.40812
0.4066,286.55,66.641,255.46,783.79,298.344,13.776963333333333
0.664,293.53,67.795,248.22,783.95,298.262,36.741333333333344
0.8617,296.04,73.569,233.18,783.14,298.098,61.87724083333334
1.2512,300.12,67.839,224.17,783.15,298.048,130.45845333333335
0.9691,301.45,64.588,242.75,782.72,297.815,78.26290083333333
1.2634,307.26,64.922,224.31,783.1,297.844,133.01496333333336
0.9489,320.73,65.218,242.54,783.09,298.06,75.0342675
0.999,334.81,66.843,220.52,783.27,299.201,83.16675
1.2057,335.01,70.34,212.61,782.86,299.496,121.14270749999999
1.4287,330.59,69.367,132.03,782.8,299.0,170.09864083333335
1.275,332.52,60.185,195.65,782.64,300.931,135.46874999999997
1.1292,333.92,59.121,198.92,782.7,299.992,106.25772
1.019,332.75,59.633,225.05,782.64,299.699,86.53008333333331
0.9545,332.58,60.978,204.11,782.47,300.86,75.92252083333334
1.095,313.94,58.883,208.72,782.73,300.5,99.91874999999999
1.0959,319.89,58.204,328.22,783.01,300.985,100.08306750000003
0.8694,320.43,59.616,338.47,782.99,300.951,62.98802999999999
0.8625,309.49,60.404,329.09,783.01,301.616,61.992187500000014
0.7446,300.35,61.098,602.2,782.86,301.997,46.20243000000001
0.9158,295.98,58.652,601.48,782.86,301.787,69.89080333333332
0.4334,296.99,58.391,620.81,782.35,302.673,15.652963333333332
0.3148,308.99,58.454,602.2,782.44,303.001,8.258253333333336
1.2939,314.87,55.866,763.1,781.55,304.693,139.5147675
1.1554,322.75,56.027,764.86,781.51,303.779,111.24576333333333
1.0111,319.9,56.336,764.34,781.46,303.572,85.19360083333335
1.4565,322.5,55.639,772.03,781.46,303.602,176.78268749999998
1.4497,330.89,56.316,764.3,781.33,303.558,175.1358408333333
2.0468,334.49,57.714,770.24,781.32,303.558,349.1158533333334
2.6483,287.09,57.44,775.71,781.28,303.777,584.4577408333332
2.4773,286.37,55.82,777.83,782.59,303.92,511.4179408333334
2.7808,305.16,55.109,778.56,781.68,303.905,644.4040533333335
2.9959,307.89,55.842,782.23,781.84,303.932,747.9514008333332
3.832,301.29,53.622,767.2,781.35,305.823,1223.6853333333333
3.6295,299.36,53.268,764.62,781.33,305.319,1097.7725208333334
3.9027,314.69,49.443,786.72,781.08,306.583,1269.2556074999998
2.9992,335.78,48.922,782.34,781.09,306.616,749.6000533333334
3.6275,345.59,50.379,786.41,781.32,306.478,1096.5630208333334
3.0008,338.81,49.971,582.39,781.31,306.35,750.4000533333333
2.9753,341.2,50.475,585.27,781.47,306.91,737.7008408333334
3.2789,340.81,49.852,703.21,781.48,306.565,895.9321008333333
2.4688,343.7,50.119,774.6,781.47,306.565,507.9144533333333
2.219,342.51,50.09,772.57,781.2,306.398,410.3300833333333
3.1948,340.56,49.376,770.46,781.21,306.471,850.5622533333332
2.9823,331.24,49.694,773.87,781.2,306.402,741.1761075
2.1788,331.44,49.888,792.73,780.57,307.159,395.5974533333333
2.1811,298.35,48.393,794.69,781.22,307.168,396.4331008333333
